pair_id	stratum	expected_label	a_source	a_title	a_author	a_date	b_source	b_title	b_author	b_date	label	notes
15	positive_borderline	unknown	bsb	Materialien zur Geschichte des Bauernkriegs in Franken, Schwaben, Thüringen ... 	Waldau, Georg Ernst	1791 - 1794	bsb	Materialien zur Geschichte des Bauernkriegs in Franken, Schwaben, Thüringen ... 	Waldau, Georg Ernst	1791 - 1794		
16	negative_same_block	likely_different	erara	Panorama des Monte Generoso : der Rigi der italienischen Schweiz, 1700 Meter ü. 	[s.n.]	1873	erara	Tables and formulae useful in surveying, geodesy, and practical astronomy : incl	[s.n.]	1873		
17	hard_multivolume	same_work_different_volume	bsb	Ahasveri Fritschii ICTi Et Cancellarii Schwarzbvrgici Opvscvla Varia De Selectio	Fritsch, Ahasver	(1732)	erara	Histoire universelle depuis le commencement du monde jusqu'à présent, traduite d	[s.n.]	1782		
18	positive_related_edition	same_work_different_edition	bsb	Qvatvor Maximae Seu Philosophiae Christianae Axiomata : Ex quadriplici considera	Manni, Giovanni Battista	1661	erara	Denck-Ring der Ewigkeit, aus vier Haupt-Lehren zusammen geflochten	Manni, Giovanni Battista	1749		
19	positive_borderline	unknown	erara	Electoratus Bavariae : Prospekte : Sammelband der Ryhiner-Kartensammlung / 29 Pr	Diesel, Matthias	1740	erara	Electoratus Bavariae : Prospekte : Sammelband der Ryhiner-Kartensammlung / 25/B 	Diesel, Matthias	1740		
20	positive_same_source	same_manifestation	bsb	Heliodora oder die Lautenspielerin aus Griechenland : Mit einem Titelkupfer / 2	Lindau, Wilhelm Adolf	(1800)	bsb	Heliodora oder die Lautenspielerin aus Griechenland / 2	Lindau, Wilhelm Adolf	1800		
21	positive_related_edition	same_work_different_edition	bsb	Christliche Leichpredigt bey dem Begräbnüs der ... Marien geborner von Loß aus d	Strauch, Aegidius	1627	bsb	Olympikos agōn descriptus dissertatione historico-chronologica	Strauch, Aegidius	1661		
22	negative_same_author	different_work	bsb	Gründliche Antwort Auf die Einwürffe Wider den Haupt-Satz: Daß ein vorher Protes	Kraus, Johann Baptist	1758	bsb	Unverbündlichkeit Der von dem Durchläuchtigsten Heßischen Herrn Erb-Prinzen Anno	Kraus, Johann Baptist	1760		
23	positive_same_source	same_manifestation	bsb	Panegyricus sacratissimo imperatori Ferdinando III. dictus	Wassenberg, Eberhard	1647	bsb	Panegyricus sacratissimo imperatori Ferdinando III. dictus	Wassenberg, Eberhard	1647		
24	hard_multivolume	same_work_different_volume	bsb	Les plus belles lettres françoises sur toutes sortes de sujets : avec des note	Richelet, Pierre	(1747)	erara	Histoire universelle depuis le commencement du monde jusqu'à présent, traduite d	[s.n.]	1782		
25	negative_same_block	likely_different	gallica	Deux arrêts du Conseil d'État du Roi, des 18 avril 1780 &amp; 27 mars 1781 . Le 	France. Conseil d'État (13..-1791). Auteur du texte	1781	gallica	Arrêt du conseil d'Etat qui règle la forme dans laquelle seront faits les rembou	France. Conseil d'État (13..-1791). Auteur du texte	1781		
26	positive_related_edition	same_work_different_edition	bsb	Examen Novarvm Doctrinarvm pro elucidatione ueritatis Euangelicae &amp; catholic	Schatzgeyer, Kaspar	1523	bsb	Abwaschu[n]g des unflats, so Andreas Osiander dem Gaspar Schatzger in sein antli	Schatzgeyer, Kaspar	1525		
27	positive_same_source	same_manifestation	bsb	Dissertatio Inauguralis Altera De Potestate Jus Suum Vi Et Armis Persequendi In 	Sündermahler, Johann Jakob Joseph	[1761]	bsb	Dissertatio Inauguralis Altera De Potestate Jus Suum Vi Et Armis Persequendi In 	Sündermahler, Johann Jakob Joseph	[1761]		
28	positive_related_edition	same_work_different_edition	bsb	Johann Caspar Lavaters Zueignungsschrift der Bonnetischen philosophischen Unters	Lavater, Johann Caspar	1770	erara	Nachdenken über mich selbst	Lavater, Johann Caspar	1771		
29	positive_same_source	same_manifestation	bsb	La Psycantropie Ou Nouvelle Théorie De L'Homme : Spectacle Des Esprits, Des Ca	Falconnet de La Bellonie, Camille	(1752)	bsb	La Psycantropie Ou Nouvelle Théorie De L'Homme : Spectacle Des Esprits, Des Ca	Falconnet de La Bellonie, Camille	(1752)		
30	positive_borderline	unknown	bsb	Dissertatio Ivridica De Continvatis Ivris Romani Et Boiarii Differentiis, Landtr	Rath, Arnold	1642	bsb	Dissertatio Ivridica De Continvatis Ivris Romani Et Boiarii Differentiis, Landtr	Rath, Arnold	1642		
31	negative_same_block	likely_different	erara	Saxonia inferior cis-albina - Pläne und Prospekte : Sammelband der Ryhiner-Karte	[s.n.]	1650	erara	Antwort auff die unlengst zu Freyburg in Uchtland aussgangene Schutz-Schrift ers	[s.n.]	1652		
32	negative_same_block	likely_different	erara	Bekleidungsreglement für die schweizerische Armee	[s.n.]	1875	erara	Deutsche Künstler des neunzehnten Jahrhunderts : Studien und Erinnerungen / [Vie	[s.n.]	1877		
33	positive_same_source	same_manifestation	bsb	Theologia Supplex. Ad Summum Pontificem Clementem XII.	Serry, Jacques-Hyacinthe	[1736 oder später]	bsb	Theologia Supplex. Ad Summum Pontificem Clementem XII.	Serry, Jacques-Hyacinthe	[1736 oder später]		
34	negative_same_block	likely_different	erara	Der  Kanton St. Gallen ist nicht pflichtig, den sogenannten Land- und Seezoll vo	[s.n.]	1840	erara	Oeuvres / Tome cinquième.	[s.n.]	1843		
35	positive_related_edition	same_work_different_edition	bsb	Außführlicher warhafftiger Bericht eines Colloquii und darauff erfolgeten zwo We	Cramer, Daniel	1615	bsb	Arbor haereticae Consanguinitatis : hoc est, haereseologica descriptio, in qua p	Cramer, Daniel	1623		
36	negative_same_author	different_work	bsb	Cvrsvs Philosophicvs Monasterii S. Galli. Tomus ... / 3 : Physica, 2	Sfondrati, Celestino	1695	erara	Instructio parochorum de sacramento baptismatis in necessitate conferendo	Sfondrati, Celestino	1746		
37	negative_same_block	likely_different	erara	Geschichte der schweizerischen Eidgenossenschaft / 2	[s.n.]	1877	erara	Arbeiterverhältnisse und Fabrikeinrichtungen der Schweiz / I. Band	[s.n.]	1873		
38	negative_same_author	different_work	bsb	Ivsti Henningii Böhmeri ICti Potent. Regi Borvss. A Consil. Intim Direct. Academ	Böhmer, Justus Henning	MDCCLIV.	bsb	Wilhelmi Godofredi L. B. De Schell S. R. I. Eqvitis Dissertatio De Efficacia Pac	Böhmer, Justus Henning	[1718]		
39	positive_related_edition	same_work_different_edition	gallica	Edict du Roy, contenant creation de deux maistrises de tous arts &amp; mestiers,	Louis XIII (1601-1643 ; roi de France). Auteur du texte	1615	gallica	Lettres patentes du Roy, portant defenses à tous marchans &amp; autres personnes	Louis XIII (1601-1643 ; roi de France). Auteur du texte	1617		
40	hard_multivolume	same_work_different_volume	biblissima	Châteauroux. Médiathèque Equinoxe, Ms. 80 (B. 201), vol. 2	Unknown		erara	Histoire universelle depuis le commencement du monde jusqu'à présent, traduite d	[s.n.]	1782		
41	positive_related_edition	same_work_different_edition	gallica	Édit... portant remise du droit de joyeux avènement, qui ordonne que toutes les 	Louis XVI (1754-1793 ; roi de France). Auteur du texte	1774	gallica	Déclaration du Roi, qui fixe les délais dans lesquels les trésoriers généraux de	Louis XVI (1754-1793 ; roi de France). Auteur du texte	1775		
42	positive_cross_source	same_manifestation_or_work	erara	Von der Menschwerdung Jesu Christi, wie das ewige Wort sey Mensch worden ...	Böhme, Jakob	1682	bsb	Von der Menschwerdung Jesu Christi : Wie das Ewige Wort sey Mensch worden. Und v	Böhme, Jakob	1682		
43	negative_same_block	likely_different	erara	Le  Vignole des ouvriers, des propriétaires et des artistes, renfermant les ordr	[s.n.]	1825	erara	Sammlung neuer Muster zum Sticken in Plattstich und Tambourin	[s.n.]	1822		
44	negative_same_author	different_work	bsb	Beschreibung der Helvetischen Pillen, durch deren Gebrauch man sich in Zeit von 	Ith, Daniel Rudolf	1757	erara	Beschreibung der helvetischen Pillen, durch deren Gebrauch man sich in Zeit von 	Ith, Daniel Rudolf	1757		
45	positive_borderline	unknown	bsb	Dissertatio Juridica Inauguralis De Eo, Quod Jure Publico Universali &amp; Parti	Ickstatt, Johann Adam von	[1737]	bsb	Dissertatio Juridica Inauguralis De Eo, Quod Jure Publico Universali &amp; Parti	Ickstatt, Johann Adam von	1737		
46	positive_borderline	unknown	bsb	Ernewerte Ordnung der Rö. Kay. Mt. Kaiserlichen Hoffgerichts zü Rottweil	Heiliges Römisches Reich, Hofgericht	[1573]	bsb	Ernewerte Ordnung der Rö. Kays. Mt. Kaiserlichen Hoffgerichts zü Rottweil	Heiliges Römisches Reich, Hofgericht	1575		
47	positive_borderline	unknown	erara	[Neujahrsblatt der Constaffler und Feuerwerker im Zeughaus] / 1750 Der  auf den 	Bullinger, Johann Balthasar	1750	erara	[Neujahrsblatt der Constaffler und Feuerwerker im Zeughaus] / 1750 Der  auf den 	Bullinger, Johann Balthasar	1750		
48	positive_same_source	same_manifestation	bsb	M. J. E. Fabri, Professors der Philosophie in Jena, wie auch ordentlichen Mitgli	Fabri, Johann Ernst	1790	bsb	M. J. E. Fabri, Professors der Philosophie in Jena, wie auch ordentlichen Mitgli	Fabri, Johann Ernst	1790		
49	negative_same_block	likely_different	erara	Zürich	[s.n.]	1844	erara	The  History Of Pendennis : His Fortunes And Misfortunes, His Friends And His Gr	[s.n.]	1849		
50	positive_same_source	same_manifestation	bsb	Disp. med. [inaug.] exhibens theoremata medica miscellanea	Lindern, Franz B. von	1708	bsb	Disp. med. [inaug.] exhibens theoremata medica miscellanea	Lindern, Franz B. von	1708		
51	positive_cross_source	same_manifestation_or_work	erara	Cosmographia Petri Apiani, per Gemmam Frisium ... iam demum ab omnibus vindicata	Apian, Petrus	1574	gallica	Cosmographia Petri Apiani, per Gemmam Frisium... jam demum ab omnibus vindicata 	Apian, Petrus (1495-1551). Auteur du texte	1574		
52	negative_same_block	likely_different	erara	Baslerische Mittheilungen / 1830	[s.n.]	1826	erara	Histoire critique et militaire des guerres de la révolution / Tome septième. Cam	[s.n.]	1820		
53	positive_borderline	unknown	bsb	Pro Divo Carolo, Eivs Nominis quinto Romanorum Imperatore Inuictissima, pio, fel	Karl, V.	1527	bsb	Pro Divo Carolo, Eivs Nominis quinto Romanorum Imperatore Inuictissima, pio, fel	Karl, V.	1527		
54	positive_same_source	same_manifestation	bsb	Dissertatio historico-canonico-publica de iustitia belli inter Christianos Europ	Barthel, Johann Kaspar	1734	bsb	Dissertatio historico-canonico-publica de iustitia belli inter Christianos Europ	Barthel, Johann Kaspar	1734		
55	positive_cross_source	same_manifestation_or_work	erara	Theatrum Botanicum, das ist: Neu vollkommenes Kräuter-Buch : worinnen allerhand 	Zwinger, Theodor	1696	bsb	Theatrum Botanicum. Das ist: Neu Vollkommenes Kräuter-Buch : Worinnen Allerhand 	Zwinger, Theodor	1696		
56	positive_borderline	unknown	bsb	Lvdovicvs Qvartvs Imperator Defensus; Bzovivs Jniuriarum postulatus : Quòd eunde	Keller, Jakob	1618 [erschienen] 1619	bsb	Lvdovicvs Qvartvs Imperator Defensus; Bzovivs Jniuriarum postulatus : Quòd eunde	Keller, Jakob	1619		
57	negative_same_block	likely_different	erara	Stoll : [Goerg Stoll]	[s.n.]	1880	erara	Die  Pfahlbaute Robenhausen (Aufnahme vom Jahr 1885)	[s.n.]	1885		
58	positive_same_source	same_manifestation	bsb	Jacobi Pontani ... Progymnasmatum Latinitatis, Sive Dialogorum Volumen ... / 2 :	Pontanus, Jacobus	1735	bsb	Jacobi Pontani Progymnasmatum Latinitatis Sive Dialogorum Selectorum Libri Duo :	Pontanus, Jacobus	1734		
59	negative_same_author	different_work	bsb	Catholica Concio, An Christianvs Alivd Nihil, quam quod in uetere uel nouo Testa	Eisengrein, Martin	Anno M. D. LXV.	bsb	Sechsz Christlicher Leichpredigen, Wie man die Verstorbne glaubigen klagen, Auch	Eisengrein, Martin	1564		
60	negative_same_block	likely_different	gallica	Arrêt du conseil d'Etat qui casse un arrêt du parlement de Toulouse, du 29 mai 1	France. Conseil d'État (13..-1791). Auteur du texte	1786	gallica	Deux arrêts du Conseil d'État du Roi, des 18 avril 1780 &amp; 27 mars 1781 . Le 	France. Conseil d'État (13..-1791). Auteur du texte	1781		
61	positive_same_source	same_manifestation	bsb	Brief über die Würkung des Blattereiters bey der Inoculation	Brinckmann, Johann Peter	1774.	bsb	Brief über die Würkung des Blattereiters bey der Inoculation	Brinckmann, Johann Peter	1774.		
62	negative_same_author	different_work	erara	Du droit des magistrats sur leurs subjets : traitté très-nécessaire en ce temps,	Bèze, Théodore de	1579	erara	Novum D.N. Jesu Christi Testamentum	Bèze, Théodore de	1559		
63	negative_same_block	likely_different	erara	Die landwirthschaftliche Betriebslehre als Leitfaden für Vorlesungen und zum Sel	[s.n.]	1853	erara	Karl Ziegler s/m R. Hanhart z. fr. Er	[s.n.]	1852		
64	negative_same_author	different_work	erara	Anleitung zur Erkenntniss und Heilung des Zungenkrebses bei Pferden und Hornvieh	Kanton Zürich	1809	erara	Entwurf der neuen helvetischen Staatsverfassung ...	Kanton Zürich	1798		
65	negative_same_block	likely_different	erara	A. Huber s/m H. Landolt zur freundl. Erinnerung	[s.n.]	1850	erara	H. Vontobel s/m R. Rahn zur freundl. Erg	[s.n.]	1857		
66	negative_same_author	different_work	bsb	Ordinarivs Senior Et Reliqvi Doctores Collegii Ivridici Nobilissimo Ac Praeclari	Rechenberg, Karl Otto	[1747]	bsb	Disputatio inauguralis de mendacio, et in specie eo, quod in foro humano punit	Rechenberg, Karl Otto	1732		
67	positive_same_source	same_manifestation	bsb	Dispvtatio Grammatica. De loco Actorum 3. Oportet Christum Coelum accipere : Con	Ruedinger, Esrom	1571	bsb	Dispvtatio Grammatica. De loco Actorum 3. Oportet Christum coelum accipere : Con	Ruedinger, Esrom	1571		
68	hard_multivolume	same_work_different_volume	bsb	Geschichte der Grösten Heerführer neuerer Zeiten / 4	O'Cahill, Karl Ludwig	(1785)	erara	Histoire universelle depuis le commencement du monde jusqu'à présent, traduite d	[s.n.]	1782		
69	hard_multivolume	same_work_different_volume	bsb	Bibliothek zum Gebrauch der baierischen Staats-, Kirchen- und Gelehrten-Geschich	Finauer, Peter Paul	(1775)	erara	Histoire universelle depuis le commencement du monde jusqu'à présent, traduite d	[s.n.]	1782		
70	negative_same_author	different_work	bsb	Dissertationem Inauguralem De Iure Recipiendi Provocationes Ex Superioriate Terr	Slevogt, Johann Philipp	[1721]	bsb	J. Philippi Slevogtii Dissertationes De Divisione Ecclesiarvm Et Beneficiorvm	Slevogt, Johann Philipp	MDCLXXXI.		
71	positive_cross_source	same_manifestation_or_work	erara	Loimographia Massiliensis : Die in Marseille und Provence eingerissene Pest-Seuc	Scheuchzer, Johann Jacob	1720	bsb	Loimographia Massiliensis. Die in Marseille und Provence eingerissene Pest-Seuch	Scheuchzer, Johann Jacob	1720		
72	positive_cross_source	same_manifestation_or_work	erara	Neueste Anweisung, Pflanzen nach dem Leben abzudruken	Martius, Ernst Wilhelm	1785	bsb	Neueste Anweisung, Pflanzen nach dem Leben abzudruken	Martius, Ernst Wilhelm	1784		
73	positive_borderline	unknown	bsb	Theologiæ Moralis Decalogalis Per modum Conferentiarum Casibus Practicis Illustr	Elbel, Benjamin	1734	bsb	Theologiæ Moralis Decalogalis Per modum Conferentiarum Casibus Practicis Illustr	Elbel, Benjamin	1735		
74	hard_multivolume	same_work_different_volume	bsb	Beiträge zur natürlichen und ökonomischen Kenntniß des Königreichs beeder Sicili	Salis-Marschlins, Carl Ulysses von	(1790)	erara	Histoire universelle depuis le commencement du monde jusqu'à présent, traduite d	[s.n.]	1782		
75	negative_same_block	likely_different	bsb	Johann Peter Frank, M.D. öffentlichen Lehrers der praktischen Arzneywissenschaft	Frank, Johann Peter	1786	gallica	Code de l'Hôpital-général de Paris, ou Recueil des principaux édits, arrêts, déc	France. Auteur du texte	1786		
76	positive_borderline	unknown	bsb	Omnia Opera Des. Erasmi Roterodami : Qvaecvnqve Ipse Avtor Pro Svis Agnovit, Nov	Erasmus, Desiderius	1540	bsb	Omnia Opera Des. Erasmi Roterodami : Qvaecvnqve Ipse Avtor Pro Svis Agnovit, Nov	Erasmus, Desiderius	1541		
77	negative_same_block	likely_different	erara	Carta d'Italia 1:25 000 / 150 IV SO/1885 Roma	[s.n.]	1885	erara	Prof. Dr. Thomé's Flora von Deutschland, Österreich und der Schweiz in Wort und 	[s.n.]	1886		
78	positive_same_source	same_manifestation	bsb	MAVSOLEVM SALOMONIS : Der Potentaten Grabschrifft, Urlaub und Abschidt von den z	Khuen, Johannes	1641	bsb	MAVSOLEVM SALOMONIS : Der Potentaten Grabschrifft, Urlaub und Abschidt von den z	Khuen, Johannes	1641		
79	positive_cross_source	same_manifestation_or_work	erara	Dominus de Monzambano illustratus et restrictus : sive Severini de Monzambano Ve	Oldenburger, Philipp Andreas	1669	bsb	Dominus De Monzambano Illustratus &amp; Restrictus: Sive: Severini De Monzambano	Oldenburger, Philipp Andreas	1669		
80	positive_related_edition	same_work_different_edition	bsb	Specimen iur. publ. de auxilio ordinum Imperii communi, Von der gemeinen Reich	Hildebrand, Heinrich	1707	bsb	Ivra Pecvliaria Qvaedam Reipvblicae Noribergensis	Hildebrand, Heinrich	[1716]		
81	negative_same_block	likely_different	erara	Tables and formulae useful in surveying, geodesy, and practical astronomy : incl	[s.n.]	1873	erara	Bericht des Schweizerischen Schulrathes an den hohen schweizerischen Bundesrath 	[s.n.]	1879		
82	negative_same_author	different_work	bsb	Responsio Ad Calvmnias Qvibvs Georgivs Cassander In Germanico Qvodam Libello Via	Cassander, Georg	1564	bsb	De Officio pii viri in hoc religionis dissidio. Das ist, Wie sich ein yeder Gott	Cassander, Georg	1562		
83	positive_same_source	same_manifestation	bsb	Q. D. B. V. Dissertationem Physicam De Sensu Plantarum	Langheinrich, Georg Nicolaus	1672	bsb	Q. D. B. V. Dissertationem Physicam De Sensu Plantarum	Langheinrich, Georg Nicolaus	1672		
84	positive_same_source	same_manifestation	bsb	Pomponius Mela drey Bücher von der Lage der Welt	Mela, Pomponius	1774.	bsb	Pomponius Mela drey Bücher von der Lage der Welt	Mela, Pomponius	1774.		
85	positive_borderline	unknown	erara	Leon : Generalkarten, Spezialkarten ; Asturia ; Galicia : Generalkarten : Sammel	López de Vargas Machuca, Tomás	1785	erara	Leon : Generalkarten, Spezialkarten ; Asturia ; Galicia : Generalkarten : Sammel	López de Vargas Machuca, Tomás	1786		
86	positive_related_edition	same_work_different_edition	bsb	Theorie der moralischen Empfindungen	Smith, Adam	1770.	bsb	Untersuchung über die Natur und die Ursachen des Nationalreichthums / Zweyter Ba	Smith, Adam	1794.		
87	negative_same_author	different_work	erara	Christliche Leich-predigt, Von dem Ampt sterbender Leuten, und dero hierauff erf	Zwinger, Theodor	1646	erara	Has de humoribus theses	Zwinger, Theodor	1584		
88	positive_borderline	unknown	bsb	Reisen durch verschiedene Gegenden Deutschlandes : in Briefen / 1	Baader, Clemens Alois	(1795)	bsb	Reisen durch verschiedene Gegenden Deutschlandes : in Briefen / Erster Band	Baader, Clemens Alois	1795.		
89	negative_same_block	likely_different	erara	Die  alte Tonhalle : wie sie nach ihrer Umwandlung aus dem Kornhause im Jahr 187	[s.n.]	1872	erara	Bericht des Schweizerischen Schulrathes an den hohen schweizerischen Bundesrath 	[s.n.]	1879		
90	positive_related_edition	same_work_different_edition	bsb	Io. Salomon. Brvnqvellii ... Programma De Pictvra Honesta Ac Vtili : Prae-Nobili	Brunquell, Johann Salomo	[1733]	bsb	Io. Salomon. Brunnquelli ... Programma, quo privilegium Saxonicum de non appel	Brunquell, Johann Salomo	1734		
91	negative_same_block	likely_different	erara	Encyclopédie ou dictionnaire raisonné des sciences, des arts et des métiers / 3.	[s.n.]	1777	erara	Johann Franz van Berkhey's, Med. D. Naturgeschichte von Holland / Erster Band.	[s.n.]	1779		
92	positive_cross_source	same_manifestation_or_work	erara	Ioannis Thomae Freigii Quaestiones oeconomicae et politicae : cum aliis quibusda	Freig, Johannes Thomas	1578	bsb	Ioannis Thomae Freigii Quaestiones oeconomicae et politicae : Cum alijs ... doct	Freig, Johannes Thomas	[1578]		
93	negative_same_block	likely_different	erara	Drei Orgelsätze zum Concertgebrauch in Form einer Sonate, op. 45 / No. 3. Grave 	[s.n.]	1886	erara	Carta geologica d'Italia : compilata sui lavori editi ed inediti di vari autori 	[s.n.]	1881		
94	positive_borderline	unknown	bsb	Fridericvs V. Comes Palatinvs Rheni Et Elector Affectans Regnvm Bohemiae	Köhler, Johann David	[1716]	bsb	Fridericvs V. Comes Palatinvs Rheni Et Elector Affectans Regnvm Bohemiae	Köhler, Johann David	[1716]		
95	positive_related_edition	same_work_different_edition	erara	La  nuova cupola lavica formatasi sul Vesuvio	Mercalli, Giuseppe	1899	erara	Sulla  forma di alcuni prodotti delle esplosioni vesuviane recenti : (con una ta	Mercalli, Giuseppe	1903		
96	positive_cross_source	same_manifestation_or_work	erara	Franc. Hotomani iusticonsulti, Francogallia	Hotman, François	1576	bsb	Franc. Hotomani Iurisconsulti, Francogallia	Hotman, François	1574		
97	positive_same_source	same_manifestation	bsb	Observationes philologicae super clarissimi viri Bernh. Henningi Witteri comment	Elswich, Johann Hermann von	1712	bsb	Observationes Philologicae Svper Clarissimi Viri Bernh. Henningi Witteri Comment	Elswich, Johann Hermann von	[1712]		
98	positive_cross_source	same_manifestation_or_work	erara	Bibliotheca sive supellex librorum impressorum in omni genere scientiarum maxima	Solger, Adam Rudolph	1760	bsb	Bibliotheca Sive Svpellex Librorvm Impressorvm, In Omni Genere Scientiarvm Maxim	Solger, Adam Rudolph	(1760)		
99	positive_cross_source	same_manifestation_or_work	erara	Sefer ʿIr giborim : ṿe-hem derashot ʿal ha-Torah	Lunṭshits, Shelomoh Efrayim	1580	bsb	Sefer ʿIr giborim : we-hem derashot ʿal hat-torah	Lunṭshits, Shelomoh Efrayim	[1580] = 340 [jüd. Zeit]		
100	positive_cross_source	same_manifestation_or_work	erara	Novum instrumentum geometricum: das ist newe planimetrische Beschreibung wie man	Zubler, Leonhard	1614	bsb	Novum Instrumentum Geometricum: Das ist, Newe Planimetrische Beschreibung: Wie m	Zubler, Leonhard	1614		
101	negative_same_block	likely_different	bsb	Introductio ad praxin juris canonici in foris protestantium : in duas partes dis	Struve, Friedrich Gottlieb	1714	bsb	Dissertatio Ivris Pvblici De Allodiis Imperii	Struve, Burkhard Gotthelf	1710		
102	negative_same_block	likely_different	erara	Der  unglückliche Franzose oder Der Deutschen Freiheit Himmelfahrt : ein Schatte	[s.n.]	1850	erara	Eugen Munzingerr med. s/m Har[...] med.z. fr. Erg	[s.n.]	1850		
103	negative_same_author	different_work	bsb	Disputatio Juridica, Ex Vtrivsqve Jvris Materia	Stuber, Johann	1617	bsb	Assertiones Juridicae De Legatis Et Fideicommissis	Stuber, Johann	1621		
104	positive_related_edition	same_work_different_edition	bsb	In Academia Fridericiana Celeberrimi Autoris De Ratione Status Dissertationem XV	Thomasius, Christian	1693	bsb	Theses Inavgvrales de Crimine Magiae	Thomasius, Christian	1701		
105	positive_same_source	same_manifestation	bsb	Unterricht eines Vaters für seine Kinder über die Natur und Religion / 3	Trembley, Abraham	(1780)	bsb	Unterricht eines Vaters für seine Kinder über die Natur und Religion / 4	Trembley, Abraham	(1780)		
106	positive_same_source	same_manifestation	bsb	Lettre De Voltaire Au Roi De Prusse	Voltaire	[1757?]	bsb	Lettre De Voltaire Au Roi De Prusse : Avec La Reponce	Voltaire	1757.		
107	positive_related_edition	same_work_different_edition	erara	Scandinavia : Generalkarten : Sammelband der Ryhiner-Kartensammlung / 51 Carte d	Hérisson, Eustache	1799	erara	Europa universalis : ordinari Karten : Sammelband der Ryhiner-Kartensammlung / 1	Hérisson, Eustache	1810		
108	hard_multivolume	same_work_different_volume	bsb	Naturgeschichte und Technologie : für Lehrer in Schulen und für Liebhaber dieser	Funke, Carl Philipp	(1800)	erara	Histoire universelle depuis le commencement du monde jusqu'à présent, traduite d	[s.n.]	1782		
