language,total_works,total_editions,works_with_translation,editions_with_translation,pct_works_translated,distinct_authors,authors_with_translation
Swedish/Latin,2,2,0,0,0.0,1,0
Judaeo-Spanish,2,2,0,0,0.0,2,0
Spanish/Italian,2,2,0,0,0.0,2,0
Serbo-Croatian,2,2,0,0,0.0,0,0
Konkani,2,2,0,0,0.0,2,0
Spanish/French,2,2,0,0,0.0,2,0
French and German,2,2,0,0,0.0,0,0
Allentiac,2,2,0,0,0.0,1,0
Latin/Polish,2,2,0,0,0.0,2,0
Latin/Catalan,2,2,1,1,50.0,1,1
Scottish Gaelic,2,2,0,0,0.0,2,0
Quechua,2,2,0,0,0.0,2,0
French and Dutch,2,2,0,0,0.0,0,0
Farsi,2,2,0,0,0.0,2,0
Georgian,2,2,0,0,0.0,2,0
Sorbian,2,2,0,0,0.0,1,0
French/Spanish,2,2,0,0,0.0,2,0
Frisian,2,2,0,0,0.0,1,0
Coptic,2,2,0,0,0.0,0,0
French/Dutch,2,2,0,0,0.0,1,0
,1,1,0,0,0.0,0,0
Anglo-Saxon,1,1,0,0,0.0,1,0
Armenian and Italian,1,1,0,0,0.0,1,0
Bantu,1,1,0,0,0.0,1,0
Bergamasque,1,1,0,0,0.0,0,0
Bikol,1,1,0,0,0.0,1,0
Bisaya,1,1,0,0,0.0,1,0
Bisayan,1,1,0,0,0.0,1,0
Bramana Marasta,1,1,0,0,0.0,1,0
Carib,1,1,0,0,0.0,1,0
Catalan and Latin,1,1,0,0,0.0,0,0
Catalan/Spanish,1,1,0,0,0.0,0,0
Chiapaneca,1,1,0,0,0.0,1,0
Chilean,1,1,0,0,0.0,1,0
Chinese,1,1,0,0,0.0,0,0
Corsican,1,1,0,0,0.0,1,0
Cumanagoto,1,1,0,0,0.0,1,0
Czech/German,1,1,0,0,0.0,0,0
Danish/Latin,1,1,0,0,0.0,1,0
Dutch Low Saxon,1,1,0,0,0.0,0,0
English and French,1,1,0,0,0.0,0,0
English and Latin,1,1,0,0,0.0,1,0
French and Latin,1,1,0,0,0.0,0,0
"French, Italian, Spanish, German",1,1,0,0,0.0,1,0
French/German/Latin,1,1,0,0,0.0,1,0
Geʽez,1,1,0,0,0.0,1,0
German and French,1,1,0,0,0.0,0,0
German and Latin,1,1,0,0,0.0,0,0
German/Polish,1,1,0,0,0.0,0,0
German/Slovenian,1,1,0,0,0.0,1,0
German/Spanish,1,1,0,0,0.0,0,0
Greek/Italian,1,1,0,0,0.0,1,0
Hebrew/German,1,1,0,0,0.0,1,0
Huasteca,1,1,0,0,0.0,1,0
Italian & Latin,1,1,0,0,0.0,1,0
Italian/French,1,1,0,0,0.0,1,0
Kapampangan,1,1,0,0,0.0,1,0
Kiriri,1,1,0,0,0.0,1,0
Latin and Dutch,1,1,0,0,0.0,1,0
Latin and French,1,3,0,0,0.0,1,0
Latin/Arabic,1,1,0,0,0.0,1,0
Latin/Danish,1,1,0,0,0.0,1,0
Latin/Dutch/French,1,1,0,0,0.0,0,0
Latin/English,1,1,1,1,100.0,1,1
Latin/French/German,1,1,0,0,0.0,1,0
Latin/German/Italian,1,1,0,0,0.0,1,0
Latin/Hungarian,1,1,0,0,0.0,1,0
Malay/Latin,1,1,0,0,0.0,1,0
Mame,1,1,0,0,0.0,1,0
Manx,1,1,0,0,0.0,0,0
Matlatzinca,1,1,0,0,0.0,1,0
Mayan,1,1,0,0,0.0,1,0
Mazahua,1,1,0,0,0.0,1,0
Middle German,1,1,0,0,0.0,0,0
Mixtec,1,1,0,0,0.0,1,0
Nahuatl (Mexicano),1,1,0,0,0.0,1,0
Native American (Algonquian),1,1,0,0,0.0,0,0
Old English,1,1,0,0,0.0,1,0
Old Gothic,1,1,0,0,0.0,1,0
Old Prussian,1,1,0,0,0.0,1,0
Old Prussian/German,1,1,0,0,0.0,1,0
Other,1,1,0,0,0.0,1,0
Panayana,1,1,0,0,0.0,1,0
Philippino,1,1,0,0,0.0,1,0
Polish/German,1,1,0,0,0.0,1,0
"Spanish, Latin",1,1,0,0,0.0,1,0
Spanish/Basque,1,1,0,0,0.0,0,0
Swedish/Greek,1,1,0,0,0.0,1,0
Turkish,1,1,0,0,0.0,0,0
,1,1,0,0,0.0,0,0
