jung_year,jung_author,jung_title,jung_erara_id,jung_url,match_status,match_score,bph_ubn,bph_author,bph_title,bph_year,bph_place,bph_printer,bph_publisher,bph_url
1559,Bonaventura,Sanctarum autoritatum veterum catholicae ecclesiae patrum libri quatuor. In usum omnium pietatis amantium ... : quibus accessit breve evangeliorum monotessaron,3334867,https://www.e-rara.ch/content/titleinfo/3334867,jung_only,,,,,,,,,
1560,Hortulanus,Compendium alchimiae Ioannis Garlandii Angli philosophi doctissimi ... : adiecimus eiusdem compendii per Arnoldum de Villanova explicationem,2101356,https://www.e-rara.ch/content/titleinfo/2101356,in_bph,7,3039,Johannes de Garlandia,Compendium alchimiae,1560,Basel,,n.n.,https://bph.sourcelibrary.org/catalog/3039
1560,"Peucer, Kaspar","Commentarius de praecipuis generibus divinationum, in quo a prophetiis autoritate divina traditis &amp; a physicis coniecturis, discernuntur artes et imposturae diabolicae, atque observationes natae ex superstitione et cum hac coniunctae ...",2101555,https://www.e-rara.ch/content/titleinfo/2101555,in_bph,13,2994,"Peucer, Caspar",Commentarius de praecipuis generibus divinationum,1560,Wittenberg,"Krafft, Johann",,https://bph.sourcelibrary.org/catalog/2994
1560,"Ibn-Umail, Muḥammad","De chemia senioris antiquissimi philosophi, libellus, ut brevis, ita artem discentibus, et exercentibus, utilissimus, et vere aureus, nunc primum in lucem aeditus",2498584,https://www.e-rara.ch/content/titleinfo/2498584,jung_only,,,,,,,,,
1561,"Grataroli, Guglielmo","Verae alchemiae artisque metallicae, citra aenigmata, doctrina certusque modus, scriptis tum novis tum veteribus nunc primum &amp; fideliter maiori ex parte editis, comprehensus quorum elenchum a praefatione reperies",1834044,https://www.e-rara.ch/content/titleinfo/1834044,jung_only,,,,,,,,,
1561,Philo,"Philonis Judaei ... operum, quotquot ad hunc diem haberi potuerunt, tomus prior[-alter]",2104280,https://www.e-rara.ch/content/titleinfo/2104280,jung_only,,,,,,,,,
1561,[s.n.],"Philonis Judaei ... operum, quotquot ad hunc diem haberi potuerunt, tomus prior[-alter] / Tomus prior.",2104282,https://www.e-rara.ch/content/titleinfo/2104282,jung_only,,,,,,,,,
1561,[s.n.],"Philonis Judaei ... operum, quotquot ad hunc diem haberi potuerunt, tomus prior[-alter] / Tomus alter.",2104857,https://www.e-rara.ch/content/titleinfo/2104857,jung_only,,,,,,,,,
1563,"Cardano, Girolamo","Traumbuch Cardani : warhafftige, gewüsse und unbetrügliche Underweisung, wie allerhandt Träum, Erscheinungen unnd nächtliche Gesicht, welche uns von der Seelen wann sich der Leib zu ruwen begeben eingebildet und fürbracht werden, wie solche natürlich unnd recht erklärt unnd aussgelegt werden sollend ... ; auch von den kleinsten und nächsten Dingen und vom aller besten und säligsten Läben ...",1479527,https://www.e-rara.ch/content/titleinfo/1479527,jung_only,,,,,,,,,
1563,"Lullus, Raimundus","Raymundi Lulli doctissimi et celeberrimi philosophi liber, qui codicillus, seu vade mecum inscribitur, in quo fontes alchimicae artis et reconditioris philosophiae traduntur, ante hac nunquam impressus",2101073,https://www.e-rara.ch/content/titleinfo/2101073,jung_only,,,,,,,,,
1564,Eucherius Lugdunensis,"Divi Eucherii episcopi Lugdunensis commentarii in genesim, &amp; in libros regum ...",2848084,https://www.e-rara.ch/content/titleinfo/2848084,jung_only,,,,,,,,,
1566,Hermes,"Ars chemica, quod sit licita recte exercentibus, probationes doctissimorum iurisconsultorum. Septem tractatus seu capitula Hermetis Trismegisti, aurei. Eiusdem Tabula Smaragdina, in ipsius sepulchro inventa, cum commento Hortulani Philosophi. Studium consilii coniugii de massa solis et lunae",1347504,https://www.e-rara.ch/content/titleinfo/1347504,in_bph,27,997,Hermes Trismegistus,Ars chemica. Septem tractatus. Tabula smaragdina. Studium consilii coniugii de massa solis et lunae,1566,Strasburg,,"Emmel, Samuel",https://bph.sourcelibrary.org/catalog/997
1569,"Du Préau, Gabriel","De vitis, sectis, et dogmatibus omnium haereticorum, qui ab orbe condito, ad nostra usque tempora, &amp; veterum &amp; recentium authorum monimentis proditi sunt, elenchus alphabeticus ...",2095703,https://www.e-rara.ch/content/titleinfo/2095703,jung_only,,,,,,,,,
1570,Artemidorus,"Traumbuch Artemidori ... darinnen Ursprung, Unterscheid und Bedeutung, allerhand Träumen ... : sambt eyner Erinnerung Philippi Melanchtonis von Unterscheid der Träume unnd angehencktem Bericht, was von Träumen zu halten seie",1347781,https://www.e-rara.ch/content/titleinfo/1347781,jung_only,,,,,,,,,
1570,Joachim,"Pauli principis de la Scala et Hun ... primi tomi miscellaneorum, de rerum caussis &amp; successibus atque secretiori methodo ibidem expressa effigies ac exemplar, nimirum vaticiniorum &amp; imaginum Ioachimi abbatis Florensis Calabriae, &amp; Anselmi episcopi Marsichani, super statu summorum pontificum Rhomanae ecclesiae, contra falsam, iniquam, vanam, confictam &amp; seditiosam cuiusdam pseudomagi, quae nuper nomine Theophrasti Paracelsi in lucem prodiit, pseudomagicam expositionem vera, &amp; certa, &amp; indubitata| explanatio",2035719,https://www.e-rara.ch/content/titleinfo/2035719,jung_only,,,,,,,,,
1574,Hermes,Mercurii Trismegisti Pimandras utraque lingua restitutus,2034213,https://www.e-rara.ch/content/titleinfo/2034213,jung_only,,,,,,,,,
1574,"Thurneysser zum Thurn, Leonhardt","Quinta essentia, das ist, die höchste Subtilitet, Krafft und Wirckung beyder der fürtrefflichsten und menschlichem Geschlecht am nützlichsten Künsten der Medicin und Alchemy. Auch wie nahe diese beyde mit Sipschafft gefreund und verwandt sind ...",2209402,https://www.e-rara.ch/content/titleinfo/2209402,in_bph,13,11915,"Thurneisser zum Thurn, Leonhard","Quinta essentia das ist die höchste Subtilitet, Kraft, und Wirkung, beider der furtrefelichisten (und menschlichem gschlecht den nutzlichisten) Könsten der Medicina, und Alchemia",1570,Münster,,"Ossenbrügge, Johann| Thurneisser zum Thurn, Leonhard",https://bph.sourcelibrary.org/catalog/11915
1574,Bernardus,"Von der hermetischenn Philosophia das ist von dem gebenedeiten Stain der Weisen der hocherfahrnen und fürtrefflichen Philosophen Herren Bernhardi Graven von der Marck und Tervis ein Buch : item dicta Alani, darinn alles hell und klar an Tag geben wirdt ... ex libris doctoris Hernici Wolffii ...",2580659,https://www.e-rara.ch/content/titleinfo/2580659,in_bph,17,22821,Bernhardus Trevisanus|[Alanus de Insulis],"Von der hermetischenn Philosophia, das ist, von dem gebenedeiten Stain der Weisen  Dicta Alani",1574,Strasburg,,"Müller, Christian II",https://bph.sourcelibrary.org/catalog/22821
1576,"Augustinus, Aurelius","D. Aurelii Augustini Hipponensis episcopi liber de haeresibus, ad Quodvultdeum : accessit operi quadruplex index ... In calce operis addita est arbor hæreseon ... ; additus est præterea tractatus de ecclesia ...",2848502,https://www.e-rara.ch/content/titleinfo/2848502,jung_only,,,,,,,,,
1581,"Medici, Sebastiano","Summa omnium haeresum et catalogus schismaticorum, haereticorum, et idolatrarum",2103458,https://www.e-rara.ch/content/titleinfo/2103458,jung_only,,,,,,,,,
1584,"Agrippa von Nettesheim, Heinrich Cornelius","Henrici Cornelii Agrippae ab Nettesheym De incertitudine et vanitate scientiarum declamatio invectiva, ex postrema authoris recognitione",1345635,https://www.e-rara.ch/content/titleinfo/1345635,jung_only,,,,,,,,,
1585,"Cardano, Girolamo","Somniorum synesiorum omnis generis insomnia explicantes, libri IIII : quibus accedunt, eiusdem haec etiam De libris propriis ... ; De curationibus et praedictionibus admirandis ; Neronis encomium ; Geometriae encomium",1633876,https://www.e-rara.ch/content/titleinfo/1633876,jung_only,,,,,,,,,
1588,"Reusner, Hieronymus","Pandora, das ist die edlest Gab Gottes oder der werde und heilsame Stein der Weysen, mit welchem die alten Philosophi, auch Theophrastus Paracelsus, die unvollkommene Metallen durch Gewalt des Fewrs verbessert ... Ein guldener Schatz, welcher durch einen Liebhaber dieser Kunst ... errettet ist worden ...",2032531,https://www.e-rara.ch/content/titleinfo/2032531,in_bph,13,10782,"[Reusner, Hieronymus]","Pandora: das ist, die edlest Gab Gottes",1588,Basel,,"Henricpetri, Sebastian",https://bph.sourcelibrary.org/catalog/10782
1588,"Cicero, Marcus Tullius","M. Tullii Ciceronis opera omnia, praeter hactenus vulgatam Dionysii Lambini editionem ; accesserunt D. Gothofredi,... note",3331759,https://www.e-rara.ch/content/titleinfo/3331759,jung_only,,,,,,,,,
1589,"Huser, Johannes","Erster [- zehender] Theil der Bücher und Schrifften des edlen, hochgelehrten und bewehrten philosophi und medici Philippi Theophrasti Bombast von Hohenheim ...",2040154,https://www.e-rara.ch/content/titleinfo/2040154,in_bph,13,2056,"Paracelsus, Theophrastus",Erster (-zehender) Theil der Bücher und Schrifften,1589,Basel,"Waldkirch, Konrad von",,https://bph.sourcelibrary.org/catalog/2056
1589,[s.n.],"Erster [- zehender] Theil der Bücher und Schrifften des edlen, hochgelehrten und bewehrten philosophi und medici Philippi Theophrasti Bombast von Hohenheim ... / [Erster bis sechster Theil.]",2040156,https://www.e-rara.ch/content/titleinfo/2040156,in_bph,13,2056,"Paracelsus, Theophrastus",Erster (-zehender) Theil der Bücher und Schrifften,1589,Basel,"Waldkirch, Konrad von",,https://bph.sourcelibrary.org/catalog/2056
1589,[s.n.],"Erster [- zehender] Theil der Bücher und Schrifften des edlen, hochgelehrten und bewehrten philosophi und medici Philippi Theophrasti Bombast von Hohenheim ... / [Siebender bis zehender Theil.]",2042289,https://www.e-rara.ch/content/titleinfo/2042289,in_bph,13,2056,"Paracelsus, Theophrastus",Erster (-zehender) Theil der Bücher und Schrifften,1589,Basel,"Waldkirch, Konrad von",,https://bph.sourcelibrary.org/catalog/2056
1592,"Valeriano, Pierio","Aphorismi hieroglyphici : quibus veterum philosophorum mysteria quaedam declarantur: ex commentariis hieroglyphicis Ioannis Pierii Valeriani &amp; Caelii Augustini Curionis collecti, inq. usum eorum, qui de recondita veterum doctrina aliquid cognoscere desiderant",1633536,https://www.e-rara.ch/content/titleinfo/1633536,jung_only,,,,,,,,,
1593,[s.n.],"Artis auriferae quam chemiam vocant, volumen primum [- secundum]",1344381,https://www.e-rara.ch/content/titleinfo/1344381,in_bph,15,1051,Morienus,"Artis auriferae, quam chemiam vocant, volumen prium ... Turbam philosophorum. Artis auriferae, quam chemiam vocant, volumen secundum... De re metallica",1593,Basel,"Waldkirch, Konrad von","Marne, Claude de| Aubry, Jean",https://bph.sourcelibrary.org/catalog/1051
1594,"Thyraeus, Petrus",Reverendi P. Petri Thyraei ... De daemoniacis liber unus in quo daemonum obsidentium conditio; obsessorum hominum status ... explicantur ...,2217010,https://www.e-rara.ch/content/titleinfo/2217010,jung_only,,,,,,,,,
1594,"Thyraeus, Petrus","Reverendi P. Petri Thyraei ... De variis tam spirituum quam vivorum hominum prodigiosis apparitionibus, et nocturnis infestationibus libri tres ...",2217160,https://www.e-rara.ch/content/titleinfo/2217160,jung_only,,,,,,,,,
1597,Horapollo,"Hōrou Apollōnos Neilōou Hieroglyphika eklekta = : Hori Apollinis selecta hieroglyphica, sive sacrae notae Aegyptiorum, &amp; insculptae imagines",1811787,https://www.e-rara.ch/content/titleinfo/1811787,jung_only,,,,,,,,,
1597,"Khunrath, Heinrich","Von hylealischen das ist pri-materialischen catholischen oder algemeinem natürlichen Chaos, der naturgemessen Alchymiae und Alchymisten; wiederholete ... Confessio oder Bekentnus",1834629,https://www.e-rara.ch/content/titleinfo/1834629,in_bph,19,6914,"Khunrath, Heinrich","Von hylealischen, das ist, Pri-materialischen catholischen, oder algemeinem [sic] natürlichen Chaos",1597,Magdeburg,,"Gehne, heirs of Andreas",https://bph.sourcelibrary.org/catalog/6914
1598,Albertus,"Alberti Magni, de secretis mulierum libellus, scholiis auctus, &amp; a mendis repurgatus : eiusdem de virtutibus herbarum, lapidum, et animalium quorundam libellus ; item de mirabilibus mundi, ac de quibusdam effectibus causatis a quibusdam animalibus, &amp;c.. adiecimus et ob materiae similitudinem Michaelis Scoti ... de secretis naturae opusculum",1507440,https://www.e-rara.ch/content/titleinfo/1507440,jung_only,,,,,,,,,
1598,"Perera, Benet","De magia. De observatione somniorum, et de divinatione astrologica, libri tres ...",2088764,https://www.e-rara.ch/content/titleinfo/2088764,in_bph,15,8688,"Pererius, Benedictus","De magia. De observatione somniorum et de divinatione astrologica, libri tres",1598,Cologne,,"Gymnich, Johann",https://bph.sourcelibrary.org/catalog/8688
1598,"Trismosin, Salomon","Aureum vellus oder Guldin Schatz und Kunstkammer: darinnen der aller fürnemisten ... Auctorum Schrifften und Bücher auss dem gar uralten Schatz der uberblibnen verborgnen ... Reliquien und Monumenten der Aegyptiorum, Arabum, Chaldaeorum &amp; Assyriorum Königen und Weysen",10335151,https://www.e-rara.ch/content/titleinfo/10335151,in_bph,15,1205,"Trissmosin, Salomon",Aureum vellus oder guldin Schatz und Kunstkammer,1598,Rorschach,,n.n.,https://bph.sourcelibrary.org/catalog/1205
1599,"Nazari, Giovanni Battista","Della tramutatione metallica sogni tre : nel primo de quali si tratta della falsa tramutatione sofistica: nel secondo della utile tramutatione detta reale usuale: nel terzo della divina tramutatione detta reale filosofica. Aggiontovi di nuovo la concordanza de filosofi, &amp; loro prattica ... Con un copioso indice per ciascun sogno de gli auttori, &amp; dell'opera c'hanno sopra di ciò trattato",1999423,https://www.e-rara.ch/content/titleinfo/1999423,in_bph,17,14668,"Nazari, Giovanni Battista",Della tramutatione metallica sogni tre,1599,Brescia,,"Marchetti, Pietro Maria",https://bph.sourcelibrary.org/catalog/14668
1599,"Chyträus, Nathan","Variorum in Europa itinerum deliciae : seu, ex variis manu-scriptis selectiora tantum inscriptionum maxime recentium monumenta : quibus passim in Italia et Germania, Helvetia et Bohemia ... : templa, arae, scholae, bibliothecae ... &amp;c. conspicua sunt",3261245,https://www.e-rara.ch/content/titleinfo/3261245,jung_only,,,,,,,,,
1600,"Trismosin, Salomon","Aurei Velleris oder der güldin Schatz und Kunstkammer. Tractatus III. Alter und Newer obriger philosophischer Schrifften und Bücher, so etwas fürnembs, und von der warhafftigen Composition Lapidis Philosophorum geschrieben aber zuvor in Druck nicht aussgangen sind ...",1343674,https://www.e-rara.ch/content/titleinfo/1343674,in_bph,17,1187,"[Trissmosin, Salomon]",Aurei velleris oder der güldin Schatz und Kunstkammer. Tractatus III,1600,[Leipzig],,"[Grosse, Henning I]",https://bph.sourcelibrary.org/catalog/1187
1600,"Béroalde de Verville, François","Le  tableau des riches inventions couvertes du voile des feintes amoureuses, qui sont représentées dans le Songe de Poliphile",1349691,https://www.e-rara.ch/content/titleinfo/1349691,in_bph,15,13977,"[Colonna, Francesco]",Le tableau des riches inventions qui sont representees dans le songe de Poliphile,1600,Paris|,,"Guillemot, Matthieu",https://bph.sourcelibrary.org/catalog/13977
1600,"Holland, Johann Isaak","Magistri Ioannis Isaaci Hollandi ... Opera mineralia, sive de lapide philosophico philosophico, omnia duobus libris comprehensa : nunquam antehac edita, ac nunc primum ex optimis manu-scriptis Teutonicis exemplaribus fidelissime in Latinum sermonem translata ...",1853229,https://www.e-rara.ch/content/titleinfo/1853229,jung_only,,,,,,,,,
