book_id,title,language,read_count,pages_total,ocr_pages,old_model_pages,new_model_pages,translated_pages,needs_reocr,needs_retranslate,old_models,url
6955840a57e3b773024f8ab6,"Collectanea de Rebus Hibernicis Vol. VI",Irish/English,0,627,627,624,3,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6955840a57e3b773024f8ab6
694f3df1be37f451a5324fae,"Divine Comedy with Landino Commentary (1487 Incunabulum)",Italian,6,632,632,617,15,631,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/694f3df1be37f451a5324fae
6953114a77f38f6761bcc13e,"Apostolic Fathers (Greek)",Greek,1,784,618,608,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953114a77f38f6761bcc13e
69526137ab34727b1f046674,"Auriferae artis; quam chemiam vocant (Turba Philosophorum)",Latin,0,600,600,598,2,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/69526137ab34727b1f046674
6909d654cf28baa1b4cb0269,"The First Volume of Minor Works on Theological; Historical; and Philosophical Subjects",Latin,0,589,589,589,0,99,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6909d654cf28baa1b4cb0269
15c5d8e4-cea3-4b5b-9859-f3528660ecc8,"Newton: Principia (1726 Third Edition)",Latin,1,586,586,584,2,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/15c5d8e4-cea3-4b5b-9859-f3528660ecc8
65c7583f-4866-4f74-8903-a37bd8f1de33,"Oedipus Aegyptiacus Volume I (1652)",Latin,2,581,581,577,4,580,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/65c7583f-4866-4f74-8903-a37bd8f1de33
69535b2277f38f6761bcdb4f,"Divine Dialogues",English,1,682,570,560,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/69535b2277f38f6761bcdb4f
6955843657e3b773024f8d7c,"The Martyrology of Oengus the Culdee (Félire Óengusso; 9th c.)",English,0,544,540,537,3,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6955843657e3b773024f8d7c
6816b270-a7e0-4782-b332-3f827bed541d,"Ripley Reviv'd (1678)",English,0,554,540,530,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6816b270-a7e0-4782-b332-3f827bed541d
8bee13ae-6d70-49e3-b939-3d1e667c6e4a,"Theatrum Chemicum Britannicum",English,1,524,524,514,10,524,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/8bee13ae-6d70-49e3-b939-3d1e667c6e4a
6909ec3ecf28baa1b4cb09c3,"Most Lucid Expositions on the Four Gospels",Latin,0,511,511,511,0,94,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6909ec3ecf28baa1b4cb09c3
4d4089b9-9227-4cc5-b0a2-9b06ee731061,"Oedipus Aegyptiacus Volume II (1653)",Latin,0,590,583,497,86,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/4d4089b9-9227-4cc5-b0a2-9b06ee731061
6953e47777f38f6761bee635,"Dialogo sopra i due massimi sistemi del mondo (1632)",Italian,0,520,502,492,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953e47777f38f6761bee635
c4aa9f54-cf66-4065-a310-9b786b4d9954,"Boethius: De Consolatione (1486)",Latin,0,490,490,490,0,98,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/c4aa9f54-cf66-4065-a310-9b786b4d9954
6953e51c77f38f6761befc93,"Discours de la Méthode suivi des Méditations Métaphysiques",French,1,485,485,485,0,485,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6953e51c77f38f6761befc93
ee664bc9-0205-415b-888f-fcb251964986,"Lehigh Codex (15th c. Naples Alchemical MS)",Latin,0,482,482,477,5,98,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/ee664bc9-0205-415b-888f-fcb251964986
6952d08877f38f6761bc5560,"True & Faithful Relation (Enochian diaries)",English,2,615,484,474,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6952d08877f38f6761bc5560
6953e5f21479a63c110842bb,"Oeuvres de Blaise Pascal Vol. I",French,0,476,476,474,2,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953e5f21479a63c110842bb
a7d82d02-1a76-4f5f-af99-339285a345f9,"Hypnerotomachia Poliphili (1499 Aldine)",Italian/Latin,2,468,468,467,1,468,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/a7d82d02-1a76-4f5f-af99-339285a345f9
6953e46b77f38f6761bee386,"De Revolutionibus - German Translation with Commentary",Latin-German,0,466,466,462,4,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953e46b77f38f6761bee386
6952d05177f38f6761bc4f02,"Basilica Chymica (IA original edition)",Latin,0,476,471,461,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6952d05177f38f6761bc4f02
6953a81577f38f6761bd08df,"David the Invincible: Works on Porphyry and Aristotle",Armenian,0,461,461,456,5,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953a81577f38f6761bd08df
695591667bd6d2cd1d618fc3,"Paracelsus Chirurgische Bücher und Schrifften",German,0,860,460,450,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695591667bd6d2cd1d618fc3
6955916e7bd6d2cd1d619320,"Deutsches Theatrum Chemicum Vol. I",German,0,1130,460,450,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6955916e7bd6d2cd1d619320
695591637bd6d2cd1d618cf0,"Paracelsus Opera (Huser Edition)",German,0,722,455,445,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695591637bd6d2cd1d618cf0
6955843957e3b773024f8f9d,"Études sur le droit celtique",French,0,422,422,422,0,421,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6955843957e3b773024f8f9d
606a74d7-2ac1-420b-924d-de761439fb3f,"De Revolutionibus (1543 First Edition)",Latin,6,426,426,420,6,426,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/606a74d7-2ac1-420b-924d-de761439fb3f
695591547bd6d2cd1d618a62,"Les Douze Clefs de Philosophie (Twelve Keys of Basil Valentine)",French,0,408,408,408,0,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695591547bd6d2cd1d618a62
6953a54c77f38f6761bcf531,"Philokalia (Greek)",Greek,0,404,404,404,0,404,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6953a54c77f38f6761bcf531
695434471479a63c11088d8c,"Tractatus Theologico-Politicus",English,1,412,406,397,9,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695434471479a63c11088d8c
69557474f63a7571091734e4,"Commentarius in Platonis Timaeum",Greek/Latin,0,965,403,393,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/69557474f63a7571091734e4
695272feab34727b1f048676,"Le Opere Italiane di Giordano Bruno",Italian,0,409,398,388,10,38,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/695272feab34727b1f048676
694b3a03ffae839f0ec62004,"The Latin Works of Giordano Bruno",Latin,2,386,386,386,0,362,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/694b3a03ffae839f0ec62004
2e9dc5d4-12f4-45b3-abb9-5f4976629f02,"Janua Linguarum Reserata (1641)",Latin/English,0,379,378,376,2,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/2e9dc5d4-12f4-45b3-abb9-5f4976629f02
0c19cab9-00d4-49b1-ace1-9122b5a45cc9,"Three Books of Occult Philosophy (1533 Latin)",Latin,1,382,382,374,8,96,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/0c19cab9-00d4-49b1-ace1-9122b5a45cc9
69520714ab34727b1f043564,"On the Mysteries of the Egyptians; Chaldeans; and Assyrians",Latin,0,374,374,373,1,374,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/69520714ab34727b1f043564
68fa138e6bd5e42f9c120538,"Historical-Theological Considerations of Remarkable Truths",German,2,361,361,361,0,361,yes,yes,"mistral",https://sourcelibrary.org/book/68fa138e6bd5e42f9c120538
69528a11ab34727b1f04e1cb,"The Key to Theosophy",English,0,352,352,352,0,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/69528a11ab34727b1f04e1cb
6fc11c7d-782a-47c3-a855-f3b4415e797b,"Harmonices Mundi (1619 First Edition)",Latin,1,354,354,351,3,354,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6fc11c7d-782a-47c3-a855-f3b4415e797b
6955845f57e3b773024f9144,"The Book of Fenagh (Leabhar Fhianach)",English,0,478,360,350,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6955845f57e3b773024f9144
6909a2e7cf28baa1b4caec93,"On the Ancient Hermetic Medicine of the Egyptians and the New Medicine of the Paracelsians",Latin,10,433,433,350,83,192,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6909a2e7cf28baa1b4caec93
93c0e5f5-40e5-4f9a-b07b-1d67ed2d05a2,"Orbis Sensualium Pictus (1659 First English)",Latin/English,0,353,352,348,4,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/93c0e5f5-40e5-4f9a-b07b-1d67ed2d05a2
6953a86177f38f6761bd0d10,"Monumenta Sacra Inedita (Tischendorf)",Greek,0,347,347,341,6,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953a86177f38f6761bd0d10
695294acb184004c526a21c1,"Sylva Sylvarum (1631 English edition)",English,0,338,338,338,0,338,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/695294acb184004c526a21c1
690c44f3e0787282ad593d7d,"Church or Home Postil: On the Gospels for Sundays and Principal Feasts Throughout the Entire Year",German,0,336,336,336,0,97,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/690c44f3e0787282ad593d7d
f20894c1-495f-4afe-815b-e8bf3c8938a5,"Palladio: Quattro Libri (1616 Venice)",Italian,1,336,336,336,0,336,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/f20894c1-495f-4afe-815b-e8bf3c8938a5
6953ddbf77f38f6761be84f6,"Cloud of Unknowing - Underhill Edition",Middle English-English,0,330,330,330,0,330,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6953ddbf77f38f6761be84f6
6909c41acf28baa1b4caf923,"Horus or Astrognostic Final Judgment",German,0,329,329,329,0,260,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6909c41acf28baa1b4caf923
6953a82c77f38f6761bd0bc5,"New Testament (Armenian-Greek-Italian trilingual)",Armenian,0,329,329,328,1,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953a82c77f38f6761bd0bc5
6952310fab34727b1f0448a1,"The Discovery of Witchcraft",English,0,416,416,327,89,416,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6952310fab34727b1f0448a1
6953ab1077f38f6761bd67aa,"Ott.lat.2074",Latin,0,319,319,319,0,319,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6953ab1077f38f6761bd67aa
69528b01ab34727b1f04f07b,"Das fliessende Licht der Gottheit (The Flowing Light of the Godhead)",German,1,324,324,316,8,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/69528b01ab34727b1f04f07b
69520717ab34727b1f0436db,"On the Uncertainty and Vanity of the Sciences and Arts",Latin,0,312,312,311,1,311,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/69520717ab34727b1f0436db
695294d8b184004c526a23f1,"The Advancement of Learning (1605 first edition)",English,0,338,316,306,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695294d8b184004c526a23f1
694b3acade93d1d4cec199c5,"The Letters of Marsilio Ficino",Latin,13,496,496,306,190,496,yes,yes,"gemini-2.0-flash; gemini-2.5-flash",https://sourcelibrary.org/book/694b3acade93d1d4cec199c5
e3662257-8cfb-4a4a-a4aa-5293e0d10ea0,"Pansophiae Prodromus (1638)",Latin,9,303,303,303,0,303,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/e3662257-8cfb-4a4a-a4aa-5293e0d10ea0
695583d05336c55c8910fa27,"The Dean of Lismore Book (16th c. Gaelic Poetry Manuscript)",Irish/English,0,476,310,300,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695583d05336c55c8910fa27
695583ca5336c55c8910f407,"Silva Gadelica: A Collection of Tales in Irish Vol. II (English)",English,0,648,310,300,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695583ca5336c55c8910f407
6952722bab34727b1f047e18,"Mosaicall Philosophy",English,0,326,310,300,10,299,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6952722bab34727b1f047e18
695583cd5336c55c8910f690,"Irische Texte mit Wörterbuch Vol. I",Irish/English,0,918,308,298,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695583cd5336c55c8910f690
695584065336c55c8910fd83,"Ancient Laws of Ireland (Brehon Laws)",Irish/English,0,659,306,296,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695584065336c55c8910fd83
695583f05336c55c8910fc04,"Carmina Gadelica: Hymns and Incantations of the Western Highlands",English,0,382,301,292,9,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695583f05336c55c8910fc04
690c4d40e0787282ad59401f,"The Marrow of the Soul; that is; of the Perfection of all Virtues",German,8,307,307,278,29,307,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/690c4d40e0787282ad59401f
695207e4ab34727b1f043cf6,"The Art of Gold-Making (Alchemy Anthology)",Latin,13,361,361,278,83,361,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/695207e4ab34727b1f043cf6
690c3351e0787282ad5936fd,"Portraits of some men learned in the Word of God",Dutch,5,328,328,275,53,172,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/690c3351e0787282ad5936fd
694a8046458d70b8c6439c5f,"Lives and Opinions of Eminent Philosophers",Latin,25,556,555,263,292,555,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/694a8046458d70b8c6439c5f
695591c87bd6d2cd1d61978b,"Anatomiae Amphitheatrum",Latin,10,344,344,261,83,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695591c87bd6d2cd1d61978b
690c3a0ce0787282ad593939,"Revealer of the Great Secret of the Philosophers",Latin,0,259,259,259,0,244,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/690c3a0ce0787282ad593939
69527227ab34727b1f047c85,"Philosophia Moysaica",Latin,1,304,268,258,10,7,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/69527227ab34727b1f047c85
6952872fab34727b1f04d5b2,"Enchiridion Leonis Papae (Pope Leo's Enchiridion)",Latin,0,244,244,243,1,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6952872fab34727b1f04d5b2
6955915d7bd6d2cd1d618bfb,"The Way to Bliss in Three Books",English,0,244,244,243,1,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6955915d7bd6d2cd1d618bfb
c01d8a64-b9de-4012-9af9-e4a85e340722,"More: Utopia (1685 Burnet Translation)",English,0,242,242,242,0,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/c01d8a64-b9de-4012-9af9-e4a85e340722
0425b5da-2769-41ae-93dd-76624ba8236a,"Basil Valentine: Natural & Supernatural Things (1671)",English,0,241,241,240,1,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/0425b5da-2769-41ae-93dd-76624ba8236a
695363bc77f38f6761bcddfa,"The Secret of the Golden Flower",English,0,363,248,238,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695363bc77f38f6761bcddfa
68fb0dc412055a03a58d3281,"Pymander. Asclepius. On the Mysteries of the Egyptians.",Latin,3,237,237,237,0,237,yes,yes,"mistral",https://sourcelibrary.org/book/68fb0dc412055a03a58d3281
690989d5cf28baa1b4cae1c9,"Pymander. Asclepius. On the Mysteries of the Egyptians. On Plato's Alcibiades; on the Soul and the Daemon. On Sacrifice.",Latin,4,336,336,237,99,336,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/690989d5cf28baa1b4cae1c9
6953a82a77f38f6761bd0ad5,"David the Invincible: Works (15th c. copy)",Armenian,0,239,239,232,7,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953a82a77f38f6761bd0ad5
6909b50ecf28baa1b4caf28b,"Metaphysical Heresies",German,0,228,228,228,0,98,yes,yes,"mistral; gemini-2.5-flash",https://sourcelibrary.org/book/6909b50ecf28baa1b4caf28b
6867c580aadfee9e955eca92,"Aurora; or Day-Spring: The Root of Philosophy; Astrology; and Theology",German,4,225,225,225,0,225,yes,yes,"gemini",https://sourcelibrary.org/book/6867c580aadfee9e955eca92
695524151479a63c1108cc09,"The Hermetical Triumph; or; The Victorious Philosophical Stone",English,2,228,228,224,4,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695524151479a63c1108cc09
6953a87677f38f6761bd14b4,"Vat.arm.19",Armenian,0,516,231,221,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953a87677f38f6761bd14b4
6953dd9d77f38f6761be819f,"Die Zierde der geistlichen Hochzeit",Dutch-German,0,220,220,220,0,220,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6953dd9d77f38f6761be819f
695234baab34727b1f044b50,"Triumphant Chariot of Antimony",English,0,220,220,218,2,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695234baab34727b1f044b50
69523495ab34727b1f044a45,"The Hammer of Witches",Latin,0,266,266,213,53,266,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/69523495ab34727b1f044a45
694f8f40077e0c701da64461,"Epitome of Ptolemy's Almagest (1496)",Latin,1,222,222,212,10,222,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/694f8f40077e0c701da64461
6952584fab34727b1f044f95,"Theosophia Practica",French,1,219,219,211,8,219,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6952584fab34727b1f044f95
690c2476e0787282ad5930dd,"Biographies of Famous Men from the Times of the Revival of the Sciences",German,1,209,209,209,0,98,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/690c2476e0787282ad5930dd
695234e3ab34727b1f044dc2,"Fourth Book of Occult Philosophy",English,1,230,217,207,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695234e3ab34727b1f044dc2
690c293de0787282ad5932fd,"Treatise on the Free Investigation of the Canon",German,9,317,317,207,110,313,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/690c293de0787282ad5932fd
695258d1ab34727b1f045aed,"Natural Magic; or On the Miracles of Natural Things",Latin,2,321,210,200,10,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/695258d1ab34727b1f045aed
6909f75fcf28baa1b4cb0f71,"History of a Voyage to the Falkland Islands",French,0,201,201,199,2,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6909f75fcf28baa1b4cb0f71
2950c384-e5de-44c2-bbb5-a486556d6a93,"Poliziano: Miscellaneorum (1489 Florence)",Latin,0,198,198,198,0,198,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/2950c384-e5de-44c2-bbb5-a486556d6a93
6953e58d77f38f6761bf0cfc,"Traité de la Lumière (1690)",French,0,201,200,197,3,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/6953e58d77f38f6761bf0cfc
6909bf46cf28baa1b4caf6b5,"Curious History of the Life; Conduct; and True Sentiments of Mr. Jean de Labadie",French,0,196,196,196,0,100,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/6909bf46cf28baa1b4caf6b5
9754fae4-b3c6-45e6-8742-53c85117ca09,"Mysterium Cosmographicum (1596 First Edition)",Latin,0,194,194,193,1,0,yes,no,"gemini-2.5-flash",https://sourcelibrary.org/book/9754fae4-b3c6-45e6-8742-53c85117ca09
69099ab2cf28baa1b4cae97f,"Three Christian Sermons on Temptations",German,4,189,189,189,0,189,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/69099ab2cf28baa1b4cae97f
a0461b95-c56a-463a-beed-a6a2fb11cec2,"Alciato: Emblemata (1548 Lyon)",Latin,0,182,182,182,0,182,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/a0461b95-c56a-463a-beed-a6a2fb11cec2
ec135ab7-b367-4579-81ca-2a0901d34630,"Euclid: Elementa (1482 Ratdolt)",Latin,1,176,176,176,0,176,yes,yes,"gemini-2.5-flash",https://sourcelibrary.org/book/ec135ab7-b367-4579-81ca-2a0901d34630
